CallTimes	TotalTime	InitTime	GenVoltageTime	GenLFTime	CheckQTime	CheckConnectTime	0	1	2	3	4	5	4Rate	0time	1time	2time	3time	4time	5time	nSuccessCase
OKCase
1	9	1	0	0	0	0	1	0	0	0	0	1.0	0	0	0	0	0	0	1	1
1000001	8210	1	1147	3337	3417	3579	1000001	0	0	0	0	1.0	8201	0	0	0	0	0	1000001	1000001
2000001	15747	1	2211	6430	6580	6828	2000001	0	0	0	0	1.0	15738	0	0	0	0	0	2000001	2000001
3000001	22989	1	3241	9493	9693	9875	3000001	0	0	0	0	1.0	22980	0	0	0	0	0	3000001	3000001
4000001	32509	1	4587	13473	13766	13882	4000001	0	0	0	0	1.0	32500	0	0	0	0	0	4000001	4000001
5000001	40562	1	5744	16768	17140	17345	5000001	0	0	0	0	1.0	40553	0	0	0	0	0	5000001	5000001
6000001	48237	1	6848	19980	20408	20591	6000001	0	0	0	0	1.0	48228	0	0	0	0	0	6000001	6000001
7000001	56044	1	7955	23102	23588	24059	7000001	0	0	0	0	1.0	56035	0	0	0	0	0	7000001	7000001
8000001	63699	1	9133	26162	26711	27353	8000001	0	0	0	0	1.0	63690	0	0	0	0	0	8000001	8000001
9000001	71334	1	10248	29312	29935	30596	9000001	0	0	0	0	1.0	71325	0	0	0	0	0	9000001	9000001
10000001	78897	1	11390	32415	33103	33774	10000001	0	0	0	0	1.0	78888	0	0	0	0	0	10000001	10000001
11000001	86727	1	12567	35646	36406	37065	11000001	0	0	0	0	1.0	86718	0	0	0	0	0	11000001	11000001
12000001	94907	1	13741	39067	39880	40539	12000001	0	0	0	0	1.0	94898	0	0	0	0	0	12000001	12000001
13000001	104415	1	15110	42988	43901	44575	13000001	0	0	0	0	1.0	104406	0	0	0	0	0	13000001	13000001
14000001	111614	1	16211	45903	46863	47656	14000001	0	0	0	0	1.0	111605	0	0	0	0	0	14000001	14000001
15000001	118937	1	17290	48922	49941	50761	15000001	0	0	0	0	1.0	118928	0	0	0	0	0	15000001	15000001
16000001	126123	1	18360	51813	52884	53879	16000001	0	0	0	0	1.0	126114	0	0	0	0	0	16000001	16000001
17000001	133392	1	19459	54801	55930	56949	17000001	0	0	0	0	1.0	133383	0	0	0	0	0	17000001	17000001
18000001	140199	1	20612	57502	58683	59799	18000001	0	0	0	0	1.0	140190	0	0	0	0	0	18000001	18000001
19000001	147125	1	21685	60351	61623	62665	19000001	0	0	0	0	1.0	147116	0	0	0	0	0	19000001	19000001
20000001	154125	1	22751	63198	64514	65665	20000001	0	0	0	0	1.0	154116	0	0	0	0	0	20000001	20000001
21000001	161061	1	23814	65957	67313	68682	21000001	0	0	0	0	1.0	161052	0	0	0	0	0	21000001	21000001
22000001	168084	1	24908	68831	70238	71649	22000001	0	0	0	0	1.0	168075	0	0	0	0	0	22000001	22000001
23000001	175401	1	25933	71902	73360	74764	23000001	0	0	0	0	1.0	175392	0	0	0	0	0	23000001	23000001
24000001	182974	1	27000	75075	76586	77978	24000001	0	0	0	0	1.0	182965	0	0	0	0	0	24000001	24000001
25000001	190470	1	28068	78151	79728	81197	25000001	0	0	0	0	1.0	190461	0	0	0	0	0	25000001	25000001
26000001	198017	1	29151	81311	82942	84382	26000001	0	0	0	0	1.0	198008	0	0	0	0	0	26000001	26000001
27000001	205413	1	30210	84391	86091	87527	27000001	0	0	0	0	1.0	205404	0	0	0	0	0	27000001	27000001
28000001	212876	1	31283	87428	89196	90751	28000001	0	0	0	0	1.0	212867	0	0	0	0	0	28000001	28000001
29000001	220667	1	32428	90613	92435	94091	29000001	0	0	0	0	1.0	220658	0	0	0	0	0	29000001	29000001
30000001	228022	1	33503	93567	95442	97291	30000001	0	0	0	0	1.0	228013	0	0	0	0	0	30000001	30000001
31000001	235252	1	34524	96571	98502	100393	31000001	0	0	0	0	1.0	235243	0	0	0	0	0	31000001	31000001
32000001	242892	1	35633	99807	101792	103578	32000001	0	0	0	0	1.0	242883	0	0	0	0	0	32000001	32000001
33000001	250256	1	36710	102800	104865	106721	33000001	0	0	0	0	1.0	250247	0	0	0	0	0	33000001	33000001
34000001	257568	1	37810	105851	107971	109770	34000001	0	0	0	0	1.0	257559	0	0	0	0	0	34000001	34000001
35000001	264992	1	38984	108855	111046	112887	35000001	0	0	0	0	1.0	264983	0	0	0	0	0	35000001	35000001
36000001	272546	1	40099	112015	114249	116059	36000001	0	0	0	0	1.0	272537	0	0	0	0	0	36000001	36000001
37000001	280018	1	41164	115058	117362	119284	37000001	0	0	0	0	1.0	280009	0	0	0	0	0	37000001	37000001
38000001	287470	1	42268	118141	120507	122427	38000001	0	0	0	0	1.0	287461	0	0	0	0	0	38000001	38000001
39000001	295072	1	43412	121190	123637	125693	39000001	0	0	0	0	1.0	295063	0	0	0	0	0	39000001	39000001
40000001	302557	1	44513	124219	126743	128903	40000001	0	0	0	0	1.0	302548	0	0	0	0	0	40000001	40000001
41000001	310092	1	45620	127298	129899	132112	41000001	0	0	0	0	1.0	310083	0	0	0	0	0	41000001	41000001
42000001	317539	1	46729	130416	133077	135207	42000001	0	0	0	0	1.0	317530	0	0	0	0	0	42000001	42000001
43000001	325124	1	47830	133544	136273	138421	43000001	0	0	0	0	1.0	325115	0	0	0	0	0	43000001	43000001
44000001	332701	1	48932	136665	139471	141642	44000001	0	0	0	0	1.0	332692	0	0	0	0	0	44000001	44000001
45000001	340556	1	50106	139874	142760	144976	45000001	0	0	0	0	1.0	340547	0	0	0	0	0	45000001	45000001
46000001	347721	1	51141	142806	145743	148066	46000001	0	0	0	0	1.0	347712	0	0	0	0	0	46000001	46000001
47000001	354556	1	52116	145661	148645	150977	47000001	0	0	0	0	1.0	354547	0	0	0	0	0	47000001	47000001
48000001	361421	1	53213	148479	151518	153833	48000001	0	0	0	0	1.0	361412	0	0	0	0	0	48000001	48000001
49000001	368426	1	54276	151325	154421	156825	49000001	0	0	0	0	1.0	368417	0	0	0	0	0	49000001	49000001
50000001	376189	1	55398	154478	157653	160161	50000001	0	0	0	0	1.0	376180	0	0	0	0	0	50000001	50000001
51000001	383864	1	56499	157678	160914	163418	51000001	0	0	0	0	1.0	383855	0	0	0	0	0	51000001	51000001
52000001	391351	1	57588	160770	164076	166593	52000001	0	0	0	0	1.0	391342	0	0	0	0	0	52000001	52000001
53000001	398862	1	58718	163915	167281	169720	53000001	0	0	0	0	1.0	398853	0	0	0	0	0	53000001	53000001
54000001	406264	1	59825	166930	170373	172862	54000001	0	0	0	0	1.0	406255	0	0	0	0	0	54000001	54000001
55000001	413644	1	60982	169971	173484	175924	55000001	0	0	0	0	1.0	413635	0	0	0	0	0	55000001	55000001
56000001	421066	1	62103	172979	176558	179103	56000001	0	0	0	0	1.0	421057	0	0	0	0	0	56000001	56000001
57000001	428559	1	63180	176069	179717	182288	57000001	0	0	0	0	1.0	428550	0	0	0	0	0	57000001	57000001
58000001	435994	1	64310	179091	182801	185456	58000001	0	0	0	0	1.0	435985	0	0	0	0	0	58000001	58000001
59000001	443273	1	65431	182070	185842	188518	59000001	0	0	0	0	1.0	443264	0	0	0	0	0	59000001	59000001
60000001	450588	1	66561	185005	188828	191664	60000001	0	0	0	0	1.0	450579	0	0	0	0	0	60000001	60000001
61000001	457887	1	67618	187975	191868	194792	61000001	0	0	0	0	1.0	457878	0	0	0	0	0	61000001	61000001
62000001	465018	1	68670	190922	194882	197808	62000001	0	0	0	0	1.0	465009	0	0	0	0	0	62000001	62000001
63000001	472236	1	69740	193893	197910	200878	63000001	0	0	0	0	1.0	472227	0	0	0	0	0	63000001	63000001
64000001	479561	1	70787	196924	201008	204007	64000001	0	0	0	0	1.0	479552	0	0	0	0	0	64000001	64000001
65000001	486889	1	71877	199972	204117	207088	65000001	0	0	0	0	1.0	486880	0	0	0	0	0	65000001	65000001
66000001	494243	1	72937	202992	207221	210215	66000001	0	0	0	0	1.0	494234	0	0	0	0	0	66000001	66000001
67000001	502045	1	74088	206126	210421	213611	67000001	0	0	0	0	1.0	502036	0	0	0	0	0	67000001	67000001
67108864	503024	1	74220	206514	210818	214055	67108864	0	0	0	0	1.0	503015	0	0	0	0	0	67108864	67108864
