CallTimes	TotalTime	InitTime	GenVoltageTime	GenLFTime	CheckQTime	CheckConnectTime	0	1	2	3	4	5	4Rate	0time	1time	2time	3time	4time	5time	nSuccessCase
OKCase
1	680	1	0	0	0	0	1	0	0	0	0	1.0	0	0	0	0	0	0	1	1
1000001	7530	1	1052	2832	2889	2868	1000001	0	0	0	0	1.0	6850	0	0	0	0	0	1000001	1000001
2000001	13817	1	2002	5430	5532	5530	2000001	0	0	0	0	1.0	13137	0	0	0	0	0	2000001	2000001
3000001	20110	1	3029	7997	8138	8155	3000001	0	0	0	0	1.0	19430	0	0	0	0	0	3000001	3000001
4000001	26572	1	4049	10629	10814	10878	4000001	0	0	0	0	1.0	25892	0	0	0	0	0	4000001	4000001
5000001	32889	1	5039	13235	13456	13520	5000001	0	0	0	0	1.0	32209	0	0	0	0	0	5000001	5000001
6000001	39221	1	6039	15810	16069	16201	6000001	0	0	0	0	1.0	38541	0	0	0	0	0	6000001	6000001
7000001	45823	1	7004	18518	18825	19046	7000001	0	0	0	0	1.0	45143	0	0	0	0	0	7000001	7000001
8000001	52122	1	7944	21097	21443	21747	8000001	0	0	0	0	1.0	51442	0	0	0	0	0	8000001	8000001
9000001	58372	1	8879	23729	24126	24351	9000001	0	0	0	0	1.0	57692	0	0	0	0	0	9000001	9000001
10000001	64739	1	9902	26257	26694	27083	10000001	0	0	0	0	1.0	64059	0	0	0	0	0	10000001	10000001
11000001	70985	1	10959	28736	29221	29708	11000001	0	0	0	0	1.0	70305	0	0	0	0	0	11000001	11000001
12000001	77299	1	12012	31258	31781	32365	12000001	0	0	0	0	1.0	76619	0	0	0	0	0	12000001	12000001
13000001	83607	1	12965	33825	34377	35094	13000001	0	0	0	0	1.0	82927	0	0	0	0	0	13000001	13000001
14000001	89863	1	13974	36410	37011	37660	14000001	0	0	0	0	1.0	89183	0	0	0	0	0	14000001	14000001
15000001	96148	1	14939	38994	39637	40315	15000001	0	0	0	0	1.0	95468	0	0	0	0	0	15000001	15000001
16000001	102423	1	15953	41511	42197	42972	16000001	0	0	0	0	1.0	101743	0	0	0	0	0	16000001	16000001
17000001	108679	1	16931	44022	44747	45658	17000001	0	0	0	0	1.0	107999	0	0	0	0	0	17000001	17000001
18000001	114964	1	17926	46695	47462	48183	18000001	0	0	0	0	1.0	114284	0	0	0	0	0	18000001	18000001
19000001	121192	1	18935	49196	49990	50829	19000001	0	0	0	0	1.0	120512	0	0	0	0	0	19000001	19000001
20000001	127452	1	19936	51731	52563	53467	20000001	0	0	0	0	1.0	126772	0	0	0	0	0	20000001	20000001
21000001	133718	1	20905	54270	55134	56165	21000001	0	0	0	0	1.0	133038	0	0	0	0	0	21000001	21000001
22000001	139962	1	21933	56862	57765	58709	22000001	0	0	0	0	1.0	139282	0	0	0	0	0	22000001	22000001
23000001	146210	1	22901	59379	60333	61382	23000001	0	0	0	0	1.0	145530	0	0	0	0	0	23000001	23000001
24000001	152823	1	23913	62075	63078	64193	24000001	0	0	0	0	1.0	152143	0	0	0	0	0	24000001	24000001
25000001	159261	1	24868	64724	65775	66931	25000001	0	0	0	0	1.0	158581	0	0	0	0	0	25000001	25000001
26000001	165510	1	25861	67190	68279	69644	26000001	0	0	0	0	1.0	164830	0	0	0	0	0	26000001	26000001
27000001	171822	1	26862	69754	70869	72332	27000001	0	0	0	0	1.0	171142	0	0	0	0	0	27000001	27000001
28000001	178180	1	27845	72330	73487	75048	28000001	0	0	0	0	1.0	177500	0	0	0	0	0	28000001	28000001
29000001	184455	1	28823	74864	76059	77736	29000001	0	0	0	0	1.0	183775	0	0	0	0	0	29000001	29000001
30000001	191064	1	29863	77517	78753	80565	30000001	0	0	0	0	1.0	190384	0	0	0	0	0	30000001	30000001
31000001	197636	1	30892	80162	81441	83377	31000001	0	0	0	0	1.0	196956	0	0	0	0	0	31000001	31000001
32000001	204349	1	31949	82843	84167	86251	32000001	0	0	0	0	1.0	203669	0	0	0	0	0	32000001	32000001
33000001	210846	1	32958	85481	86853	89016	33000001	0	0	0	0	1.0	210166	0	0	0	0	0	33000001	33000001
34000001	217619	1	34004	88317	89731	91811	34000001	0	0	0	0	1.0	216939	0	0	0	0	0	34000001	34000001
35000001	224155	1	34995	91050	92517	94533	35000001	0	0	0	0	1.0	223475	0	0	0	0	0	35000001	35000001
36000001	230672	1	36044	93743	95255	97207	36000001	0	0	0	0	1.0	229992	0	0	0	0	0	36000001	36000001
37000001	237508	1	37069	96519	98078	100142	37000001	0	0	0	0	1.0	236828	0	0	0	0	0	37000001	37000001
38000001	243971	1	38050	99119	100721	102952	38000001	0	0	0	0	1.0	243291	0	0	0	0	0	38000001	38000001
39000001	250393	1	39087	101776	103414	105614	39000001	0	0	0	0	1.0	249713	0	0	0	0	0	39000001	39000001
40000001	256786	1	40095	104424	106102	108273	40000001	0	0	0	0	1.0	256106	0	0	0	0	0	40000001	40000001
41000001	263177	1	41108	107052	108774	110940	41000001	0	0	0	0	1.0	262497	0	0	0	0	0	41000001	41000001
42000001	269513	1	42116	109574	111341	113657	42000001	0	0	0	0	1.0	268833	0	0	0	0	0	42000001	42000001
43000001	275796	1	43133	112128	113937	116291	43000001	0	0	0	0	1.0	275116	0	0	0	0	0	43000001	43000001
44000001	282131	1	44106	114721	116575	118981	44000001	0	0	0	0	1.0	281451	0	0	0	0	0	44000001	44000001
45000001	288583	1	45139	117315	119222	121708	45000001	0	0	0	0	1.0	287903	0	0	0	0	0	45000001	45000001
