CallTimes	TotalTime	InitTime	GenVoltageTime	GenLFTime	CheckQTime	CheckConnectTime	0	1	2	3	4	5	4Rate	0time	1time	2time	3time	4time	5time	nSuccessCase
OKCase
46000001	329044	0	48855	134587	137151	140519	46000001	0	0	0	0	1.0	329036	0	0	0	0	0	46000001	46000001
47000001	335909	0	49882	137384	140004	143449	47000001	0	0	0	0	1.0	335901	0	0	0	0	0	47000001	47000001
48000001	342765	0	50920	140167	142833	146385	48000001	0	0	0	0	1.0	342757	0	0	0	0	0	48000001	48000001
49000001	349913	0	51974	143062	145773	149490	49000001	0	0	0	0	1.0	349905	0	0	0	0	0	49000001	49000001
50000001	357613	0	53115	146216	148999	152762	50000001	0	0	0	0	1.0	357605	0	0	0	0	0	50000001	50000001
51000001	364529	0	54153	149058	151892	155698	51000001	0	0	0	0	1.0	364521	0	0	0	0	0	51000001	51000001
52000001	371442	0	55161	151889	154780	158655	52000001	0	0	0	0	1.0	371434	0	0	0	0	0	52000001	52000001
53000001	378395	0	56196	154693	157629	161670	53000001	0	0	0	0	1.0	378387	0	0	0	0	0	53000001	53000001
54000001	385293	0	57191	157527	160524	164622	54000001	0	0	0	0	1.0	385285	0	0	0	0	0	54000001	54000001
55000001	392277	0	58189	160421	163472	167615	55000001	0	0	0	0	1.0	392269	0	0	0	0	0	55000001	55000001
56000001	399225	0	59219	163286	166388	170550	56000001	0	0	0	0	1.0	399217	0	0	0	0	0	56000001	56000001
57000001	406149	0	60299	166119	169280	173455	57000001	0	0	0	0	1.0	406141	0	0	0	0	0	57000001	57000001
58000001	413001	0	61378	168941	172157	176292	58000001	0	0	0	0	1.0	412993	0	0	0	0	0	58000001	58000001
59000001	419925	0	62479	171758	175029	179194	59000001	0	0	0	0	1.0	419917	0	0	0	0	0	59000001	59000001
60000001	426861	0	63514	174568	177895	182184	60000001	0	0	0	0	1.0	426853	0	0	0	0	0	60000001	60000001
61000001	433862	0	64572	177412	180792	185177	61000001	0	0	0	0	1.0	433854	0	0	0	0	0	61000001	61000001
62000001	440897	0	65579	180281	183712	188243	62000001	0	0	0	0	1.0	440889	0	0	0	0	0	62000001	62000001
63000001	447817	0	66602	183103	186586	191212	63000001	0	0	0	0	1.0	447809	0	0	0	0	0	63000001	63000001
64000001	454713	0	67682	185827	189360	194206	64000001	0	0	0	0	1.0	454705	0	0	0	0	0	64000001	64000001
65000001	461562	0	68745	188672	192258	197041	65000001	0	0	0	0	1.0	461554	0	0	0	0	0	65000001	65000001
66000001	468552	0	69861	191559	195201	199910	66000001	0	0	0	0	1.0	468544	0	0	0	0	0	66000001	66000001
67000001	475447	0	70932	194351	198046	202830	67000001	0	0	0	0	1.0	475439	0	0	0	0	0	67000001	67000001
67108864	476215	0	71059	194649	198348	203165	67108864	0	0	0	0	1.0	476207	0	0	0	0	0	67108864	67108864
