CallTimes	TotalTime	GenVoltageTime	GenLFTime	CheckQTime	CheckConnectTime	ReverseBTime	ReverseYTime	0	1	2	3	4	5	6	7	8	9	10	9Rate	0time	1time	2time	3time	4time	5time	6time	7time	8time	9time	10time
1	16	15360	2480074	979631	182047	9597445	5782758	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
1000001	113568	456114791	76128112470	14275932413	21723984023	9597445	5782758	8192	63758	5368	1984	873	1024	128	128	144	16	0.08161491838508161	77	1107	297	77	0	79	16	16	16	0	111867
2000001	226057	910972847	151535071122	28416128345	43266465610	9597445	5782758	8192	142431	9573	2688	2976	1344	148	148	164	36	0.08384995807502096	77	2882	484	109	138	79	16	16	31	0	222209
3000001	339188	1367159509	227332689569	42672843139	64929370364	9597445	5782758	16384	203587	16034	4025	3872	2368	256	256	176	48	0.08233530588823137	202	4101	656	202	200	219	31	16	31	0	333514
4000001	451396	1821696487	302555555842	56785002504	86417938831	9597445	5782758	16384	283859	20929	4715	4704	2577	296	329	432	48	0.08356822910794272	202	5644	779	218	263	235	31	16	47	0	443945
5000001	562934	2276883190	377304804915	70775267552	107801877222	9597445	5782758	18150	369517	23441	7279	4817	2788	421	418	723	48	0.08552038289592342	250	7189	827	358	263	235	31	32	63	0	553670
6000001	673503	2731411303	451480256624	84586606451	128980949765	9597445	5782758	26752	455826	29439	7923	5324	2925	601	509	752	48	0.08834981860836356	392	9072	981	358	279	266	46	47	63	0	661983
7000001	784103	3186979220	525669289158	98423623619	150171202838	9597445	5782758	35584	541878	33992	8400	5504	3664	1806	1056	816	80	0.09039712994326715	578	10696	1120	389	295	329	126	109	79	0	770366
8000001	894469	3642348387	599738483091	112224331926	171308292127	9597445	5782758	44416	629534	38822	9626	5922	3792	1922	1137	848	80	0.09201236349845457	672	12224	1322	468	342	329	126	125	95	0	878750
9000001	1006911	4098771510	675133346481	126338054210	192853161787	9597445	5782758	53152	699276	44985	11477	6360	4575	2080	1227	848	80	0.09156221204864311	843	13414	1476	547	342	407	158	157	95	0	989456
