CallTimes	TotalTime	GenVoltageTime	GenLFTime	CheckQTime	CheckConnectTime	ReverseBTime	ReverseYTime	0	1	2	3	4	5	6	7	8	9	10	9Rate	0time	1time	2time	3time	4time	5time	6time	7time	8time	9time	10time	SuccessCaseLFTime
1	0	1138	25032	284	16497	186596	372623	1	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
1000001	131385	554672612	87267015208	14169011553	29372024588	186596	372623	14336	62044	2246	0	128	0	0	0	0	0	0.07875392124607876	157	2005	97	0	16	0	0	0	0	0	129110	1121617
2000001	263110	1108327039	175224660736	27839400023	58974042326	186596	372623	14336	132633	9004	1069	196	0	0	32	40	0	0.07865496067251966	157	4157	283	158	32	0	0	0	0	0	258323	2279506
3000001	393416	1635314301	262790603872	41596718971	87909612312	186596	372623	25088	197943	11336	1269	223	0	0	32	64	0	0.07865164044945318	461	6191	299	174	32	0	0	0	0	0	386259	3420481
4000001	525741	2188674050	350328642109	55644824742	117614291633	186596	372623	25484	267719	17449	1418	248	0	0	64	192	64	0.07815948046012988	461	8364	555	205	32	0	0	16	15	30	516063	4577810
5000001	656245	2739393544	437031434191	69446846191	147393246817	186596	372623	29925	337194	28541	2239	272	32	0	64	256	64	0.07971738405652319	539	11114	905	221	32	0	0	16	15	30	643373	5770310
6000001	784997	3242615881	522634201721	82823914964	176996588072	186596	372623	42328	412864	40651	3387	514	92	0	64	256	64	0.08336998610500232	695	13618	1339	236	48	0	0	16	15	30	769000	6982807
7000001	915602	3798847612	609773858256	96920604462	205640275464	186596	372623	50688	481650	51119	4334	807	112	0	64	256	64	0.0841562736919609	851	15909	1902	236	64	0	0	16	15	30	896579	8174458
8000001	1045768	4377912781	695989464469	110389744149	234896444802	186596	372623	62768	554619	62157	5044	1154	178	0	64	256	64	0.08578798927650134	1177	18591	2264	252	65	0	0	16	15	30	1023358	9380844
9000001	1178011	4932291717	783764775370	124186138754	264180325788	186596	372623	77720	617563	67312	5178	1216	240	0	64	256	64	0.08551254605416155	1473	20659	2485	252	65	0	0	16	15	30	1153016	10567028
10000001	1308431	5437306827	871245133640	137924574156	294226582585	186596	372623	80128	689663	72826	5904	1221	272	0	80	256	64	0.08504139149586085	1535	22690	2768	298	65	0	0	16	15	30	1281014	11731767
11000001	1440103	6017804099	958083142319	152271877178	324114485480	186596	372623	85248	756379	79718	6269	1280	272	0	80	256	64	0.08450599231763706	1581	24863	3114	330	67	0	0	16	15	30	1410087	12895922
12000001	1569765	6549110800	1045956822955	166126384766	354077572672	186596	372623	90020	820473	85338	6631	1312	329	0	80	272	64	0.08370990969084086	1660	26994	3380	362	67	0	0	16	15	30	1537241	14039180
13000001	1700385	7052714985	1133161521956	179907405420	383232216957	186596	372623	93705	893017	95735	7909	1312	346	9	80	272	64	0.08403453199734369	1756	29552	3775	424	67	0	0	16	15	30	1664750	15243986
14000001	1831956	7691177664	1219500616420	193738224552	412664013745	186596	372623	104637	963728	107619	8781	1376	352	16	80	272	64	0.08478035108711778	1930	31913	4258	444	67	0	0	16	15	30	1793283	16462903
15000001	1963023	8296711077	1306723512383	207222393840	441290105687	186596	372623	122279	1029786	118293	9184	1376	496	16	80	272	64	0.08545639430290705	2215	34310	4637	475	67	31	0	16	15	30	1921227	17683960
16000001	2091123	8829559588	1393482878160	220818727554	470721727184	186596	372623	131156	1102472	130091	9349	1536	496	16	80	336	64	0.08597474462657846	2416	36808	5183	491	67	31	0	16	30	30	2046051	18906153
17000001	2222483	9360213971	1479583073706	234675016428	500505557368	186596	372623	157400	1162901	137808	9824	1616	624	16	80	336	64	0.08650993608765081	3056	38670	5479	507	83	47	0	16	30	30	2174565	20115095
18000001	2354617	9890494843	1567832521438	248613886073	529789950111	186596	372623	165632	1224516	141183	9824	1744	624	16	80	336	64	0.08577882856784286	3277	40724	5541	507	83	47	0	16	30	30	2304362	21257113
19000001	2483971	10417582154	1654743973240	262253610326	559323755784	186596	372623	169104	1298198	147536	10976	1824	624	16	112	400	64	0.08572915338267614	3371	42882	6017	601	83	47	0	16	45	30	2430879	22466793
20000001	2616120	10895829895	1742504752385	276165063099	588988097709	186596	372623	176384	1361027	150518	11129	1856	624	16	121	419	64	0.08510789574460521	3587	44871	6093	601	99	47	0	32	45	30	2560715	23630052
21000001	2747556	11481006710	1830079851512	289942886263	618290901554	186596	372623	177920	1435519	157564	11348	1888	628	16	144	536	128	0.08503290071271902	3618	47161	6459	616	99	47	0	32	60	30	2689434	24839663
22000001	2879370	12006731549	1918196238788	303681561775	647498626330	186596	372623	183824	1501073	170065	12226	1888	656	16	144	592	128	0.08502781431691753	3711	49347	6946	664	99	47	0	32	60	30	2818434	26073888
23000001	3009599	12519863976	2004479346724	317046788908	676475601261	186596	372623	197552	1578277	180462	13232	2144	720	16	144	592	128	0.08579421366112115	3962	51768	7354	679	115	47	0	32	60	30	2945552	27311987
24000001	3141684	13021122729	2092488111628	330877787963	705153518735	186596	372623	203676	1645829	191695	14486	2583	736	16	144	592	128	0.08582853809047758	4117	54215	7689	803	147	47	0	32	60	30	3074544	28533381
25000001	3273670	13521594163	2178890080227	344361771172	734452514699	186596	372623	218748	1717604	202433	14992	2832	864	16	144	592	128	0.08633411654663534	4399	56654	8172	803	147	47	0	32	60	30	3203326	29777003
26000001	3406684	14077013008	2265691185753	358336023510	764631277928	186596	372623	231424	1780403	205449	15024	2832	870	16	144	592	128	0.08603391976792617	4680	58751	8346	803	147	47	0	32	60	30	3333788	30969169
27000001	3539845	14583200461	2353899673096	372031657825	794332212847	186596	372623	231424	1850990	211930	15728	2864	896	16	160	592	128	0.0857306634914569	4680	61729	8613	834	147	47	0	32	60	30	3463673	32151195
