CallTimes	TotalTime	GenVoltageTime	GenLFTime	CheckQTime	CheckConnectTime	ReverseBTime	ReverseYTime	0	1	2	3	4	5	6	7	8	9	10	9Rate	0time	1time	2time	3time	4time	5time	6time	7time	8time	9time	10time
28000001	3223333	13234609748	2158218146908	402741103739	623034302442	617813	412160	132272	1561676	136880	21312	3696	1072	448	64	176	304	0.0663535690588011	2492	30171	4292	960	171	47	0	0	48	31	3185121
29000001	3339189	13707620480	2235751660388	417252561452	645438268445	617813	412160	132608	1611792	143492	23616	3840	1072	480	64	196	304	0.06611944599588117	2507	30980	4401	1054	187	47	0	0	48	31	3299934
30000001	3454461	14182757760	2312920711556	431648551618	667726760008	617813	412160	136192	1666723	147600	24316	4208	1104	544	64	208	368	0.06604423113185896	2632	31915	4525	1069	202	47	0	0	48	31	3413992
31000001	3567856	14655210712	2388884057406	445744804991	689635225236	617813	412160	143360	1737157	149921	25521	5681	1104	544	64	208	368	0.0665783204329574	2678	33029	4667	1116	248	47	0	0	48	31	3525992
32000001	3681596	15125156048	2465112507347	459899329571	711630174437	617813	412160	150528	1804153	153041	26496	5936	1168	576	64	208	432	0.0669563104076153	2786	34381	4821	1196	248	63	0	0	48	61	3637992
33000001	3795359	15597747538	2541350276241	474053257456	733604904783	617813	412160	157276	1871523	156950	26745	6057	1168	576	64	222	446	0.06730384644533799	2909	35629	4945	1227	279	63	0	0	48	77	3750182
34000001	3909221	16071399194	2617618203969	488256664263	755596322398	617813	412160	170240	1929078	163063	27386	6176	1184	640	64	256	448	0.06760396859988328	3113	36903	5133	1291	279	79	0	0	48	77	3862298
35000001	4025522	16544385911	2695419235934	502847619125	778066179543	617813	412160	173824	1976568	165698	29632	6304	1184	640	64	288	448	0.06727571236355108	3129	37774	5196	1371	294	79	0	0	96	77	3977506
36000001	4141774	17018151446	2773223682878	517417485885	800539123922	617813	412160	177408	2021709	169848	31580	6304	1312	640	64	288	448	0.06693335925185113	3177	38573	5320	1417	294	79	0	0	96	77	4092741
37000001	4257903	17491713916	2850951721476	531978994502	822977542863	617813	412160	179200	2069646	175435	32576	6304	1312	640	64	288	448	0.06664629549604607	3208	39723	5510	1448	294	79	0	0	96	77	4207468
38000001	4374439	17964371477	2928937854363	546567952848	845516603358	617813	412160	179200	2115386	181335	33152	6304	1312	640	64	288	448	0.06626655088772235	3208	40731	5729	1509	294	79	0	0	96	77	4322716
39000001	4489149	18437187546	3005748840655	560882295329	867680077270	617813	412160	179200	2178443	187502	33419	6329	1394	696	64	301	460	0.06635404958066539	3208	41794	5914	1540	294	79	31	0	96	77	4436116
40000001	4602264	18909213132	3081586618231	574938364974	889530928801	617813	412160	193536	2245295	190280	33584	6400	1440	736	64	304	496	0.06680337332991566	3597	43013	6056	1570	294	79	31	0	96	77	4547451
