CallTimes	TotalTime	GenVoltageTime	GenLFTime	CheckQTime	CheckConnectTime	ReverseBTime	ReverseYTime	0	1	2	3	4	5	6	7	8	9	10	9Rate	0time	1time	2time	3time	4time	5time	6time	7time	8time	9time	10time	SuccessCaseLFTime
27000001	3586425	14791424534	2413165689346	376207868284	822199137524	160711	408178	212224	1550224	178199	18720	8400	880	64	32	0	64	0.0729187750770824	4063	51550	8228	1459	598	78	0	0	0	17	3520432	34407204
28000001	3719554	15346411471	2502446179769	390223773137	853187864375	160711	408178	220256	1611596	182996	19168	8464	880	64	32	0	64	0.07298285453632662	4191	53699	8371	1490	598	78	0	0	0	17	3651110	35718234
29000001	3853749	15937513939	2592302310469	404289706597	884111075685	160711	408178	221696	1667413	191728	20096	8768	880	64	32	0	64	0.07278416990399414	4238	55597	8777	1601	630	78	0	0	0	17	3782811	36983718
30000001	3987774	16467670986	2682252362926	418317291898	915055702982	160711	408178	226304	1719354	200901	21101	9216	880	64	32	0	64	0.07259719758009342	4364	57343	9167	1601	662	78	0	0	0	17	3914542	38262394
31000001	4121858	16970400690	2771262510779	431951231985	945627803742	160711	408178	236824	1782020	206325	21817	9632	896	96	32	0	64	0.07282922345712182	4633	59499	9497	1601	662	78	2	0	0	17	4045869	39577375
32000001	4256297	17557478263	2860408065435	445990721669	976151085666	160711	408178	250880	1837695	213029	22236	10121	960	96	64	0	64	0.07297327896958503	5007	61166	9672	1632	724	78	2	0	0	17	4177999	40903882
33000001	4387522	18084495701	2949394913572	459869566443	1006619154660	160711	408178	264736	1896794	218694	22694	10608	960	128	64	0	64	0.07317399778260612	5324	63016	9937	1663	740	78	17	0	0	17	4306730	42240088
34000001	4521575	18612505248	3038180708033	474191312433	1037710718824	160711	408178	284672	1949749	221388	23412	10944	992	128	64	0	64	0.07327685078597497	5564	65253	10077	1695	790	94	17	0	0	17	4438068	43542554
35000001	4654871	19144790633	3128517905118	488090087411	1068312762899	160711	408178	291840	2003930	227008	24268	11104	1024	128	64	0	64	0.07312656933924087	5676	67434	10294	1742	838	94	17	0	0	17	4568759	44829682
36000001	4785797	19673178717	3217605116158	502292565508	1099029867802	160711	408178	299008	2061524	233882	24768	11432	1280	128	64	0	64	0.0731152757467979	5817	69423	10483	1851	854	141	17	0	0	17	4697194	46143548
37000001	4916607	20296414764	3307049913809	516374266287	1130322329811	160711	408178	302592	2116546	239806	25099	11618	1280	128	64	0	64	0.07289721424602123	5882	70961	11005	1851	869	141	17	0	0	17	4825864	47444561
38000001	5051276	20939563911	3397584783962	530334230507	1161190077250	160711	408178	302592	2174746	250756	26426	11915	1280	128	64	0	64	0.07284134018838578	5882	72646	11492	1913	932	141	17	0	0	17	4958236	48754852
39000001	5185213	21529871446	3487214654556	544221964950	1192052896306	160711	408178	309156	2232047	257800	27386	12340	1280	128	64	0	64	0.07282730582494087	5976	74207	11647	1928	963	141	17	0	0	17	5090317	50099918
40000001	5317869	22092204824	3576474103784	557881257877	1222514392743	160711	408178	322816	2293890	263696	27872	12774	1280	128	64	0	64	0.07306459817338505	6148	76312	11773	2007	994	141	17	0	0	17	5220460	51441251
41000001	5451700	22591960315	3666663871300	571714541336	1253570182167	160711	408178	329572	2346574	272088	28496	13134	1293	128	64	0	64	0.07296129090338314	6320	78173	12242	2038	1010	141	17	0	0	17	5351742	52786100
42000001	5585018	23092117092	3755870161406	585199775543	1284047710904	160711	408178	344579	2412581	276048	29232	13552	1312	128	64	0	96	0.07327599825533337	6709	80081	12384	2056	1057	141	17	0	0	17	5482556	54131565
43000001	5720086	23563386467	3846309762914	599440762600	1315265855897	160711	408178	350976	2468804	282262	29316	13552	1312	128	64	0	96	0.07317464946105466	6836	82135	12553	2056	1057	141	17	0	0	17	5615274	55432998
44000001	5852668	24061043199	3936451222119	613359165075	1345921604447	160711	408178	352284	2528253	289655	30494	13926	1376	128	64	0	96	0.07309718015688227	6837	83921	12820	2119	1151	141	17	0	0	17	5745645	56778070
45000001	5986079	24596563125	4026696721409	627139577968	1376802554703	160711	408178	359680	2587430	295627	30928	13936	1376	128	64	0	96	0.07309477615344942	6960	85892	13086	2196	1151	141	17	0	0	17	5876619	58105907
46000001	6119469	25130230005	4117999934059	641056389535	1407050142946	160711	408178	361180	2642213	303705	31722	14331	1376	128	64	0	96	0.07293075928411392	7009	87643	13509	2306	1231	141	17	0	0	17	6007596	59399050
47000001	6253295	25750287614	4208160701193	655161980438	1438087533719	160711	408178	365951	2694400	313269	32948	14734	1381	128	64	0	96	0.07282916866320918	7043	89521	14068	2306	1262	141	17	0	0	17	6138920	60710662
48000001	6387956	26249706578	4298180268040	668964820478	1468050886184	160711	408178	378808	2757470	317578	33356	15212	1398	160	64	0	96	0.0730029568124384	7369	91665	14242	2337	1293	141	19	0	0	17	6270873	62082673
49000001	6521227	26748394238	4387113291210	682679202882	1499834611247	160711	408178	389632	2813924	325596	33875	15702	1456	160	96	0	96	0.07307218218220037	7560	93631	14747	2368	1293	141	19	0	0	17	6401451	63420369
50000001	6652798	27251457465	4476134390101	696550608147	1531306942372	160711	408178	406736	2871181	329735	34340	16188	1456	192	96	0	96	0.07320039853599203	8003	95524	14952	2384	1324	141	19	0	0	17	6530434	64788363
51000001	6786768	27726289809	4566133290512	710521180800	1562071487239	160711	408178	427344	2925385	332000	35088	16416	1488	192	96	0	96	0.07329617503340834	8256	97204	15016	2415	1326	141	19	0	0	17	6662374	66124929
52000001	6918874	28226113517	4656900787904	724483776727	1593151911106	160711	408178	430592	2978519	339556	36104	16588	1520	192	96	0	96	0.07313967167039093	8305	99243	15565	2525	1342	141	19	0	0	17	6791717	67446881
