CallTimes	TotalTime	GenVoltageTime	GenLFTime	CheckQTime	CheckConnectTime	ReverseBTime	ReverseYTime	0	1	2	3	4	5	6	7	8	9	10	9Rate	0time	1time	2time	3time	4time	5time	6time	7time	8time	9time	10time	SuccessCaseLFTime
1	2	1138	30151	569	28160	336213	664178	1	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1
1000001	115926	507552384	77754850972	13023825970	24304370005	336213	664178	23552	116955	2444	2190	162	26	32	0	0	0	0.14536085463914536	453	3796	105	115	7	2	1	0	0	0	111445	535692
2000001	230405	1030569207	154390115625	25898062898	48366060540	336213	664178	36892	243817	6539	7968	928	4672	336	156	30	0	0.15066892466553766	722	7669	272	436	61	334	20	14	4	0	220871	1128728
3000001	346239	1527536283	232158309193	38962791101	72313736963	336213	664178	58880	363396	9328	9034	1692	5716	440	206	48	0	0.14957995014001663	1144	11451	416	494	108	440	29	18	4	0	332133	1674749
4000001	461368	2069988473	309591114595	51925532459	96064712483	336213	664178	73692	488529	13048	9802	6856	6928	784	352	112	0	0.15002571249357188	1388	15472	576	536	425	562	51	25	8	0	442323	2239657
5000001	573264	2586873008	384640493712	64369508548	119592938838	336213	664178	113207	621923	19862	10149	6944	6960	800	368	112	0	0.15606496878700624	2118	19701	833	550	434	565	54	27	8	0	548972	2832924
6000001	684861	3115701730	459645280901	76664639051	142746721338	336213	664178	175352	738384	25182	11041	9625	7244	896	992	144	580	0.16157330640444895	3440	23389	1051	592	613	604	64	99	13	88	654906	3425673
7000001	796825	3634078506	534868904945	89142714652	166189403210	336213	664178	227884	855769	33299	11481	9696	7248	896	1072	144	672	0.1640229765681462	4405	27033	1409	628	617	605	64	110	13	101	761838	4015398
8000001	908130	4143552201	609926734616	101521247670	189323964220	336213	664178	291732	967749	38922	11857	9937	7248	2176	1744	816	672	0.16660660417417447	5625	30624	1637	651	630	605	180	180	105	101	867790	4608644
9000001	1023601	4731311869	687285947246	114446969061	213500308031	336213	664178	328716	1070129	41760	14624	10336	7536	2272	1744	816	672	0.16428942619006376	6438	33780	1771	786	649	621	185	180	105	101	978983	5166908
10000001	1139873	5245914453	765458654176	127438988706	237473310173	336213	664178	344448	1191538	49630	14945	10336	9424	2976	2480	816	704	0.16272968372703162	6731	37605	2138	811	649	754	244	249	105	106	1090479	5785913
11000001	1255120	5766968923	842566777888	140282124408	261507951508	336213	664178	362112	1321762	54615	15965	11514	10788	3131	2542	878	704	0.16218280343792696	7101	41512	2354	860	729	886	258	264	111	106	1200937	6404833
12000001	1369819	6277076763	919908955009	153165649312	285207092853	336213	664178	377108	1462841	59670	16153	11577	10832	3136	2544	880	704	0.16212040315663306	7397	45885	2555	883	733	888	259	264	112	106	1310735	6984919
13000001	1483063	6829553743	996038622563	165768337760	308557092127	336213	664178	407814	1596877	65488	21708	12320	11248	3264	2544	880	704	0.1632959105156992	7938	50139	2820	1200	783	928	266	264	112	106	1418505	7625601
14000001	1594939	7379359693	1071158136401	178096824120	331785645745	336213	664178	460507	1719398	69701	24532	12832	11408	3488	2576	880	704	0.1647161310917049	8981	53874	3011	1362	820	950	286	270	112	106	1525165	8245503
15000001	1707963	7918075742	1147169051678	190610057397	355266454730	336213	664178	516190	1827412	74000	27310	13120	11664	3488	2576	880	704	0.1651562556562496	10008	57241	3222	1542	834	988	286	270	112	106	1633352	8842451
16000001	1818902	8444021270	1221837602859	203001184868	378670731672	336213	664178	583602	1939343	76154	27589	15040	12480	3664	2640	880	704	0.16638098960118816	11312	60866	3330	1549	975	1049	306	279	112	106	1739016	9445834
17000001	1933601	8949648723	1299066178954	215811939542	402475499104	336213	664178	645932	2027583	80027	27995	15168	12480	3664	2640	880	704	0.16571016672293137	12587	63624	3485	1560	982	1049	306	279	112	106	1849509	9995762
18000001	2050440	9476416106	1377195060156	229009595605	427063728950	336213	664178	659456	2145404	83578	32312	15638	12705	3717	2640	880	704	0.16427965754001903	12813	67283	3645	1783	1010	1059	310	279	112	106	1962038	10588511
19000001	2165211	9999033851	1454256733892	241772442085	451063514598	336213	664178	682824	2275211	86880	35936	16096	18112	4048	2832	928	704	0.16439846503165972	13327	71326	3816	1964	1038	1545	330	294	115	106	2071348	11234399
20000001	2282106	10504736869	1532494382227	255020242286	475633357528	336213	664178	694784	2394140	89504	37650	18311	18547	4209	2883	947	704	0.1630839418458029	13572	75055	3965	2071	1187	1572	346	301	118	106	2183811	11822367
21000001	2397379	11037509277	1609449107348	267816341200	500058556188	336213	664178	718980	2522352	95390	37984	22048	19408	4448	2992	992	704	0.1631094208043133	14067	79161	4244	2101	1434	1624	372	314	124	106	2293830	12451598
22000001	2510161	11567536723	1685360278474	280257076488	523479541673	336213	664178	764060	2651072	100134	38172	22112	19440	4464	3008	992	704	0.16382535618975655	15092	83260	4449	2106	1441	1629	374	317	124	106	2401261	13083694
23000001	2621826	12106677780	1760485880418	292481112328	546808695441	336213	664178	829840	2759726	107064	39040	24800	19728	4560	3712	1024	1344	0.1648190363122158	16319	86672	4778	2168	1636	1647	388	407	129	194	2507486	13720330
24000001	2734557	12678781327	1835930238475	304904308797	570372638321	336213	664178	875288	2886974	114444	39584	24936	19728	4560	3712	1024	1376	0.16548440977148293	17244	90790	5107	2211	1655	1647	388	407	129	197	2614780	14376290
25000001	2847146	13239662587	1911489874432	317304588402	594063752965	336213	664178	942678	2993376	120204	39998	25120	19728	5840	4384	1696	1376	0.16617599335296027	18595	94131	5370	2242	1665	1647	519	465	199	197	2722114	15005142
26000001	2964374	13764715418	1989761970324	330441019842	618942582534	336213	664178	968576	3097795	121838	42592	25504	20370	6068	4402	1696	1382	0.16500857057659343	19136	97400	5437	2385	1688	1688	545	468	199	198	2835228	15615906
27000001	3080758	14292414165	2068021363936	343472554349	642885358099	336213	664178	980352	3225507	131520	43264	25504	21904	6640	5120	1696	1408	0.16455240131287402	19375	101455	5850	2421	1688	1827	609	538	199	200	2946594	16280933
28000001	3197290	14834225467	2145674912613	356385549697	667540326692	336213	664178	1002800	3351919	134650	43962	26720	23312	6800	5184	1760	1408	0.16423267270597597	19818	105516	5999	2463	1785	1947	624	548	217	200	3058171	16935129
29000001	3312622	15366251717	2223087102585	369217302238	691610235175	336213	664178	1015680	3495920	140624	45668	26992	23452	6840	5184	1760	1408	0.1642595805427731	20093	110147	6273	2548	1804	1959	630	548	217	200	3168201	17584029
30000001	3425195	15885835590	2298457479698	381630789431	715270488048	336213	664178	1053630	3630644	146207	50778	27684	23798	6970	5184	1760	1408	0.16493542783548573	20856	114363	6500	2840	1852	1986	649	548	217	200	3275182	18275566
31000001	3537893	16415500354	2374433485761	394104254050	738961676072	336213	664178	1111498	3742026	150912	52609	28000	23888	7152	5216	1760	1408	0.16530544628046948	22054	117891	6704	2939	1870	1997	675	551	217	200	3382793	18923480
